id,content,vertical,trian,triangle,rectangle,diamond,parallel,angle
3059,如图，字母字母字母的线段线段等于2线段，线段等于线段等于线段，EC交线段于点M，线段交线段于点N，求证比四线段形线段线段是菱形．,0,0,0,1,1,0,0
3060,（2012春西安校级期中）如图，线段平行线段平行PN，角字母字母字母等于50度，角字母字母字母等于150度．求角线段P的度数．,0,0,0,0,0,1,0
3061,（2017春自贡期末）如图，线段平行线段，线段平分角字母字母字母，且交线段于点C，线段平分角字母字母字母，且交线段于点D，连接线段．求证比四线段形字母字母字母是菱形．,0,0,0,1,0,0,0
3062,（2015春和县期末）观察下列图形的变化过程，解答以下问题比如图，在三角形字母字母字母中，D为线段线段上的一动点（D点不与B、C两点重合）．线段平行线段交线段于E点，线段平行线段交线段于F点．（1）试探索线段满足什么条件时，四线段形线段线段为菱形，并说明理由；（2）在（1）的条件下，三角形字母字母字母满足什么条件时，四线段形线段线段为正方形．为什么？,0,0,1,1,1,0,0
3063,（2018秋皇姑区期末）补全下列解题过程如图，线段是角字母字母字母的平分线，且角字母字母字母负号角字母字母字母等于40度，若角字母字母字母等于120度，求角字母字母字母的度数．解比∵线段是角字母字母字母的平分线，角字母字母字母等于120度，∴角D线段等于1除2角字母字母字母等于60度．∵角字母字母字母加角字母字母字母等于120度，角字母字母字母负号角字母字母字母等于40度，∴角字母字母字母等于80度．∴角字母字母字母等于角字母字母字母负号角D线段等于20度．,0,0,0,0,0,0,1
3064,（2015秋邢台期末）如图，三角形字母字母字母全等三角形字母字母字母，线段和线段是对应线段，角A和角D是对应角，找出图中所有相等的线段和角．,0,1,0,0,0,0,0
3065,（2017秋东西湖区期末）已知O为直线线段上一点，射线线段、线段、线段位于直线线段上方，线段在线段的左侧，角字母字母字母等于120度，角字母字母字母等于α．（1）如图1，α等于70度，当线段平分角字母字母字母时，求角E线段的度数．（2）如图2，若角D线段等于2角字母字母字母，且α＜80度，求角E线段的度数（用含α的代数式表示）；（3）若α等于90度，点F在射线线段上，若射线线段绕点O顺时针旋转n度（0＜n＜180），角F线段等于2角字母字母字母，OH平分角字母字母字母，当角线段H等于角字母字母字母时，求n的值．,0,0,0,0,0,0,1
3066,（2010春香坊区期末）已知直线线段与线段相交于点O，线段是角字母字母字母的平分线，角字母字母字母等于90度，角字母字母字母等于90度．（1）如图1，图中除直角和平角外，请写出三对相等的角，并选择一对说明理由．角C线段等于角B线段；②角字母字母字母等于角B线段；③角字母字母字母等于角字母字母字母．选择比，说明理由比∵线段是角字母字母字母的平分线，∴角C线段等于角B线段；（2）如图1，如果角字母字母字母等于40度，则角字母字母字母等于40度．（3）如图1，如果角字母字母字母等于α度，则角D线段等于（90加1除2α）度．（4）如图2，如果角字母字母字母等于β度，则角D线段等于（90加1除2β）度．,0,0,0,0,0,0,1
3067,（2016秋郴州月考）如图，已知三角形字母字母字母中，线段等于4，线段等于6，线段等于9，点M为线段的中点，在线段线段上取点N，使三角形字母字母字母与三角形字母字母字母相似，求线段的长．,0,1,0,0,0,0,0
3068,（2018秋青县期末）阅读下面材料比数学课上，老师给出了如下问题比如图1，角字母字母字母等于80度，线段平分角字母字母字母，若角字母字母字母等于20度，请你补全图形，并求角C线段的度数．以下是小明的解答过程比解比如图2，因为线段平分角字母字母字母，角字母字母字母等于80度，所以角字母字母字母等于1除2角字母字母字母等于40度因为角字母字母字母等于20度，所以角C线段等于60度小静说比“我觉得这个题有两种情况，小明考虑的是线段在角字母字母字母外部的情况，事实上，线段还可能在角字母字母字母的内部”．完成以下问题比（1）请你将小明的解答过程补充完整；（2）根据小静的想法，请你在图3中画出另一种情况对应的图形，并直接写出此时角C线段的度数为20度,0,0,0,0,0,0,1
3069,（2018春邗江区期中）如图，菱形字母字母字母的对角线交于点O，线段等于16厘米，线段等于12厘米．（1）求菱形的线段长和面积；（2）求菱形的高线段．,0,0,0,1,0,0,0
3070,如图，把三角形线段P放置在菱形字母字母字母中，使得顶点E，F，P分别在线段线段，线段，线段上，已知线段等于线段等于6，线段等于63，角字母字母字母等于60度，且线段大于63．（1）求角线段F的大小；（2）若线段等于8，求线段加AF的值；（3）若三角形线段P的三个顶点E，F，P分别在线段线段，线段，线段上运动，请直接写出线段长的最大值和最小值．,0,1,0,1,0,0,0
3071,如图，三角形字母字母字母全等三角形字母字母字母，线段的延长线交线段于点F，交线段于点G，角线段D等于105度，角字母字母字母等于10度，角B等于25度，求角线段B和角DGB的度数．,0,1,0,0,0,0,0
3072,如图，点P是等线段三角形字母字母字母内一点，点P到三线段的距离分别为线段，线段，线段，等线段三角形字母字母字母的高为线段．求证比线段加线段加线段等于线段．,0,1,0,0,0,0,0
3073,若a、b、c为一个三角形的三线段，且满足比（a负号b）乘方2加（b负号c）乘方2加（c负号a）乘方2等于0．探索这个三角形的形状，并说明理由．,0,1,0,0,0,0,0
3074,（2017秋湖州期中）已知比如图，在等线段三角形字母字母字母的线段线段上取中点D，连结线段，在线段的延长线上取一点E，使线段等于线段，连结线段．（1）根据上述条件，得角E等于30度；（2）求证比三角形线段E为等腰三角形．,0,1,0,0,0,0,0
3075,在三角形字母字母字母和三角形字母字母字母中，角A等于角A′等于30度，角B等于角B′等于60度，角C等于角C′等于90度，这两个三角形全等吗？,0,1,0,0,0,0,0
3076,（2018秋平度市期中）如图，字母字母字母中，对角线线段，线段相交于点O，角字母字母字母等于角字母字母字母．（1）求证比字母字母字母是矩形；（2）请添加一个条件使矩形字母字母字母为正方形并说明理由．,0,0,1,0,1,0,0
3077,（2019春花都区期末）如图，已知角1等于角2，角字母字母字母等于角线段C，试判断线段与FG的位置关系，并说明理由．,0,0,0,0,0,1,0
3078,（2017秋点军区期中）已知比如图，角字母字母字母是三角形字母字母字母的外角，角1等于角2，线段平行线段求证比三角形字母字母字母是等腰三角形．,0,1,0,0,0,1,0
3079,（2019春松桃县期末）如图角字母字母字母等于角字母字母字母，线段平分角字母字母字母，线段平分角字母字母字母，且角字母字母字母等于角线段D，那么线段平行线段吗？请说明理由．,0,0,0,0,0,1,0
3080,（2018春南关区校级期中）如图，已知在三角形字母字母字母中，点E在BA的延长线上，且角B等于角C，过点A作线段平行线段．求证比线段平分角字母字母字母．,0,1,0,0,0,1,0
3081,（2019春巴州区期末）如图，矩形字母字母字母中，线段等于8厘米，线段等于6厘米，线段等于线段．（1）求证比四线段形AF线段是平行四线段形；（2）若四线段形AF线段是菱形，求出菱形的线段长．,0,1,1,1,1,0,0
3082,已知比如图，直角三角形字母字母字母全等直角三角形字母字母字母，其中点A，D的对应点分别是C，B，角B等于角D等于直角角．求证比四线段形字母字母字母是矩形．,0,0,1,0,0,0,0
3083,（2018秋灌云县期末）列方程解应用题用正方形硬纸板做三棱柱盒子，每个盒子由3个矩形面和2个正三角形底面组成，硬纸板以如图两种方法裁剪（裁剪后线段角料不再利用），A方法比剪6个侧面；B方法比剪4个侧面和5个底面，现有19张硬纸板，如何裁剪才能使裁剪出的侧面和底面恰好全部用完，能做多少个盒子？,0,1,0,0,0,0,0
3084,（2018秋晋城期末）演绎证明．如图，已知角1加角2等于180度，角A等于角C，证明AF平行线段．,0,0,0,0,0,1,0
3085,如图，正方形A线段G和正方形字母字母字母是两个全等的正方形，若角字母字母字母等于30度，求角字母字母字母的大小．,0,0,1,0,0,0,0
3086,（2009春昌邑市期中）如图所示．（1）已知角字母字母字母是直角，角字母字母字母等于30度，线段平分角字母字母字母，线段平分角字母字母字母．求角M线段的度数；（2）若角字母字母字母等于a，其他条件不变．求角M线段的度数（用含a的代数式表示）．,0,0,0,0,0,0,1
3087,（2019春西湖区校级月考）已知比如图，线段，线段是字母字母字母的两条对角线，线段垂直线段，线段垂直线段，垂足分别为E，F．求证比线段等于线段．,0,1,0,0,1,0,0
3088,如图，已知线段等于线段，角线段C等于角字母字母字母，线段、线段相交于点O．（1）说明线段等于线段的理由；（2）三角形字母字母字母与三角形C线段是否全等？为什么？,0,1,0,0,0,0,0
3089,已知等线段三角形字母字母字母的线段长等于2，如图建立平面直角坐标系，求点A，B，C的坐标．,0,1,0,0,0,0,0
3090,（2017秋砀山县期末）阅读解答过程，回答问题比如图，线段在角字母字母字母内，角字母字母字母和角C线段都是直角，且角字母字母字母等于30度，求角字母字母字母的度数．解比过O作射线线段，使点M，O，A在同一直线上，因为角M线段加角字母字母字母等于90度，角字母字母字母加角字母字母字母等于90度，所以角字母字母字母等于角M线段，所以角字母字母字母等于180度负号角M线段等于180度负号角字母字母字母等于180度负号30度等于150度．（1）如果角字母字母字母等于60度，那么角字母字母字母等于多少度？如果角字母字母字母等于n度，那么角字母字母字母等于多少度？（2）如果角字母字母字母等于角D线段等于x度，角字母字母字母等于y度，求角字母字母字母的度数．,0,0,0,0,0,0,1
3091,如图，在矩形字母字母字母中，线段等于1，平行四线段形线段线段是矩形字母字母字母的伴随四线段形，且E是线段的中点，若AF垂直线段，求线段的值．,0,0,1,0,1,0,0
3092,（2013秋滨湖区校级期中）如图，若三角形字母字母字母全等三角形C线段，角B等于角C．指出这两个全等三角形的对应线段；若三角形线段O全等三角形线段O，指出这两个三角形的对应角．,0,1,0,0,0,0,0
3093,（2018秋长汀县校级月考）如图，D是三角形字母字母字母线段线段上的一点，线段等于线段，请你添加一个条件，使三角形字母字母字母全等三角形字母字母字母．（不再添加其它线段，不再标注或使用其他字母），并给出证明．（1）你添加的条件是比线段等于线段；（2）证明比,0,1,0,0,0,0,0
3094,（2019洪山区模拟）已知比如图线段，线段相交于点O，角A等于角D，线段等于线段，求证比三角形字母字母字母全等三角形D线段．,0,1,0,0,0,0,0
3095,（2014春江阴市校级期中）三角形字母字母字母中，点O是线段上一动点，过点O作直线线段平行线段，若线段交角线段A的平分线于点E，交角线段A的平分线于点F，连接线段、AF．（1）说明比线段等于线段；（2）当点O运动到何处时，四线段形线段线段是矩形，证明你的结论；（3）在（2）的条件下，当三角形字母字母字母满足什么条件时，四线段形线段线段为正方形．,0,0,1,0,0,0,0
3096,（2018秋金东区期末）已知等线段三角形字母字母字母的线段长为4，在答题卷的网格内建立适当的直角坐标系，然后写出顶点C的坐标．,0,1,0,0,0,0,0
3097,如图，三角形字母字母字母全等三角形字母字母字母，角1等于70度，点E正好在线段线段上，求角F线段和角E线段．,0,1,0,0,0,0,0
3098,如图，在平行四线段形字母字母字母中，角线线段、线段相交于点O，动点E以1个单位每秒的速度从点A出发沿线段向运动，点F同时以1个单位每秒的速度从点C发沿线段方向运动，若线段等于12，线段等于8，求出经过几秒后，四线段形线段线段是矩形？,0,0,1,0,1,0,0
3099,如图，菱形字母字母字母中，角A等于60度，点E、F分别是线段线段、线段上的点，且满足角线段E等于角线段F，连接线段，当AF等于5时，求线段的长．,0,1,0,1,0,0,0
3100,（2017秋商水县期中）如图，已知在三角形字母字母字母中，线段等于线段，D为线段延长线上一点，E为线段延长线上一点，且满足线段乘方2等于D线段E．求证比三角形线段B相似三角形E线段．,0,1,0,0,0,0,0
3101,（2017秋安庆期末）如图，在三角形字母字母字母全等三角形D线段，其中线段等于线段，线段等于线段，延长线段，线段交于点F．求证比线段平分角线段A．,0,1,0,0,0,0,0
3102,（2019揭西县模拟）如图，在字母字母字母中，E、F分别为线段线段、线段的中点，线段是对角线，过点A作AG平行线段交线段的延长线于点．（1）求证比三角形字母字母字母全等三角形线段F；（2）若角G等于90度，求证比四线段形线段线段是菱形．,0,1,0,1,1,0,0
3103,如图1，已知长方形纸带字母字母字母，线段平行线段，线段平行线段，角线段E等于70度，将纸带沿线段折叠后，点C、D分别落在H、G的位置，再沿线段折叠图2．（1）在图1中，角线段G等于40度；（2）在图1中，求角BMG的度数；（3）在图2中，小明用量角器量得角MFH等于40度，试求角线段N的度数．,0,0,0,0,0,1,0
3104,如图，在三角形字母字母字母中，角A等于120度，线段等于线段，D是线段的中点，线段垂直线段，线段垂直线段，点E，F为垂足，求证比三角形字母字母字母是等线段三角形．,0,1,0,0,0,0,0
3105,（2019怀化）已知比如图，在字母字母字母中，线段垂直线段，线段垂直线段，E，F分别为垂足．（1）求证比三角形字母字母字母全等三角形线段F；（2）求证比四线段形线段线段是矩形．,0,1,1,0,1,0,0
3106,（2016春泰兴市校级月考）如图，在三角形字母字母字母中，线段是线段线段上的中线，E是线段的中点，过点A作线段的平行线交线段的延长线于点F，连接线段．（1）求证比AF等于线段；（2）请你给三角形字母字母字母添加一个条件，使四线段形字母字母字母F为菱形，并说明理由．,0,1,0,1,0,0,0
3107,（2019春芜湖期中）如图，在字母字母字母中，直线线段分别与线段线段，线段的延长线相交于点E，F，且G，H分别在线段，线段上，线段等于DH．求证比线段等于线段．,0,1,0,0,1,0,0
3108,（2019春莱州市期末）如图，在线段长为4的正方形字母字母字母中，动点E以每秒1个单位长度的速度从点A开始沿线段线段向点B运动，动点F以每秒2个单位长度的速度从点B开始沿线段线段向点C运动，动点E比动点F先出发1秒，其中一个动点到达终点时，另一个动点也随之停止运动设点F的运动时间为t秒．（1）如图1，连接线段，AF．若线段垂直AF，求t的值；（2）如图2，连结线段，线段．当t为何值时，三角形线段F相似三角形线段F？,0,1,1,0,0,0,0
3109,（2019秋兰州期中）如图，菱形字母字母字母的对角线交于点O，线段等于16厘米，线段等于12厘米．求菱形字母字母字母的线段长和面积．,0,0,0,1,0,0,0
3110,（2019春南岸区校级月考）等腰三角形字母字母字母中，线段等于线段，角字母字母字母等于40度，点D是线段线段延长线上的一点，且满足线段等于BA，连结线段，过B作线段平行线段交线段于点E，求角字母字母字母度数．,0,1,0,0,0,1,0
3111,（2019春铜山区期中）如图，已知线段平行线段，角字母字母字母等于130度，角字母字母字母等于152度，求角线段D的度数．,0,0,0,0,0,1,0
3112,如图，在直角梯形字母字母字母中，线段平行线段，角A等于90度，线段等于8，线段等于21，线段等于16．动点P从点B出发，沿射线线段的方向以每秒2个单位长度的速度运动，动点Q从点A同时出发，在线段线段上以每秒1个单位长度的速度向终点D运动．设点Q运动的时间为t（秒）．（1）当t为何值时，以P，C，D，Q为顶点的四线段形是平行四线段形？（2）分别求出当t为何值时，线段等于线段，②DQ等于线段．,0,0,0,0,1,0,0
3113,（2017春西城区校级期中）如图，角字母字母字母等于角字母字母字母，线段、线段分别平分角字母字母字母与角字母字母字母，且角1等于角3．求证比线段平行线段．,0,0,0,0,0,1,0
3114,（2017秋临泉县期末）如图，三角形字母字母字母是等线段三角形，D为线段延长线上一点，E为线段延长线上点．（1）当线段、线段和线段满足什么条件时，三角形线段B相似三角形E线段？（2）当三角形线段B相似三角形E线段时，求角线段E的度数．,0,1,0,0,0,0,0
3115,已知点A的坐标为（3，0），点B的坐标为（0，4），在x轴上求一点P，使得三角形P线段是等腰三角形．,0,1,0,0,0,0,0
3116,（2018秋吴中区期末）如图，已知，字母字母字母在同一条直线上，角字母字母字母等于角C线段，角字母字母字母等于30度．（1）若角字母字母字母等于88度30′，求角字母字母字母的度数；（2）若射线线段平分角E线段，求角字母字母字母的度数．,0,0,0,0,0,0,1
3117,如图，已知直线线段、线段相交于O，线段平分角字母字母字母，线段平分角字母字母字母，角2比角1等于4比1，求角A线段的度数．,0,0,0,0,0,0,1
3118,（2018秋秦皇岛期中）课本指出比公认的真命题称为基本事实，除了基本事实外，其他的真命题（如推论、定理等）的正确性都需要借助基本事实，通过推理的方法证实．例如比我们学过三角形全等的基本事实有三个，即比“SSS”、“SAS”、“ASA”，请你完成以下问题比（1）叙述三角形全等的判定方法中的推论AAS比如果两个三角形的两个角及其中一个角的对线段对应相等，那么这两个三角形全等．（2）小红同学对这个推论的正确性进行了证明，她画出了三角形字母字母字母和三角形字母字母字母，并写出了如下不完整的已知和求证．（3）按小红的想法写出证明．证明比,0,1,0,0,0,0,0
3119,（2019临淄区一模）如图，将矩形字母字母字母沿线段折叠，点C落在点Q处，点D落在线段线段上的点E处若角AGE等于32度，则角线段C等于多少度？,0,0,0,0,0,1,0
3120,（2013秋江都市校级月考）请把下列证明过程补充完整比已知比如图，线段平行线段，线段平分角字母字母字母．求证比三角形D线段为等腰三角形．证明比因为线段平分角字母字母字母（已知），所以角1等于角2（角平分线性质）．又因为线段平行线段（已知），所以角线段B等于角2．所以角1等于角线段B．所以三角形D线段为等腰三角形（等角对等线段）．,0,1,0,0,0,0,0
3121,（2019温州三模）如图，在平行四线段形字母字母字母中，点E是线段上的一点，F在线段线段上，且角AFE等于角字母字母字母．（1）若角AFE等于70度，角线段C等于40度，求角线段F的大小；（2）若线段等于线段，求证比三角形A线段全等三角形线段E,0,1,0,0,1,0,0
3122,如图，角字母字母字母等于90度，射线线段平分角字母字母字母．（1）当角字母字母字母等于30度，求角字母字母字母的度数（2）当角线段E等于48度时，求角字母字母字母的度数．,0,0,0,0,0,0,1
3123,（2017秋巴南区期末）如图，点A在x轴的负半轴上，点B在y轴的正半轴上，线段等于6，点C、D分别在线段线段、线段上，且线段垂直平分线段，点E、F、G分别是线段线段、线段、线段上的动点．（1）连接线段、线段．若角O线段等于34度，线段垂直线段，且线段等于线段，求角线段F的度数；（2）连接线段、EG．若线段等于2，且三角形线段E与三角形线段G全等，求点G的坐标．,1,1,0,0,0,0,0
3124,如图，已知三角形字母字母字母全等线段B．（1）分别写出对应角和对应线段；（2）请说明角1等于角2的理由．,0,1,0,0,0,0,0
3125,（2014秋南岗区校级月考）如图，等线段三角形字母字母字母中，延长线段至D，使线段等于线段，延长线段至E，使线段等于1除2线段，连线段、线段交于点F，（1）求证比线段垂直线段；（2）探究线段线段、线段的数量关系，并说明理由．,0,1,0,0,0,0,0
3126,（2012富平县模拟）如图，字母字母字母是正方形，G是线段上的一点，线段垂直AG于E，线段垂直AG于F．求证比三角形线段F全等三角形线段E．,0,1,1,0,0,0,0
3127,已知，如图，角1等于角2，角B等于角C．（1）你能得出线段平行线段这一结论吗？（2）你能得出角B等于角3和角A等于角D这一结论吗？若能，请你写出你的推理过程．,0,0,0,0,0,1,0
3128,等线段三角形的一条角平分线长为3，求这个三角形的线段长．,0,1,0,0,0,0,0
3129,（2018秋庐阳区期末）如图，P，Q是三角形字母字母字母的线段线段上的两点，且线段等于线段等于线段等于线段等于线段，求角字母字母字母的度数．,0,1,0,0,0,0,0
3130,（2019春南岗区校级月考）如图，线段是三角形字母字母字母的角平分线，点E，F分别在线段，线段上，且线段平行线段，线段等于AF．求证比四线段形字母字母字母F是平行四线段形．,0,1,0,0,1,0,0
3131,已知比如图，在四线段形字母字母字母中，对角线线段、线段交于点O，线段线段垂直平分线段，线段平行线段．求证比四线段形字母字母字母是菱形．,1,0,0,1,0,0,0
3132,如图，已知线段平分角线段B，角2等于角C，求证比线段平行线段．,0,0,0,0,0,1,0
3133,（2019春定远县期末）如图比已知角1加角2等于180度，角3等于角B，请问线段与线段是否平行，并说明理由．菁优网,0,0,0,0,0,1,0
3134,（2019秋南岸区校级月考）如图，四线段形字母字母字母是平行四线段形，线段等于6，线段等于8，点A的坐标为（负号3，0），求点B、C、D的坐标．,0,0,0,0,1,0,0
3135,（2015宁波校级模拟）如图1，把线段长为4的正三角形各线段四等分，连接各分点得到16个小正三角形．（1）如图2，连接小正三角形的顶点得到的正六线段形字母字母字母线段的周长等于6；（2）请你判断比命题“六个内角相等的六线段形是正六线段形”是真命题还是假命题如果是真命题，请你把它改写成“如果…，那么…”的形式；如果是假命题，请在图1中画图说明．,0,1,0,0,0,0,1
3136,（2018春肥城市期末）如图，在三角形字母字母字母中，D、E分别是线段、线段的中点，连接线段并延长线段至点F，使线段等于线段，连接线段．（1）求证比四线段形字母字母字母是平行四线段形；（2）探究比当三角形字母字母字母满足什么条件时，四线段形字母字母字母F是矩形，并说明理由．,0,1,1,0,1,0,0
3137,（2018秋海安县期末）证明比如果两个三角形有两条线段和其中一线段上的中线分别相等，那么这两个三角形全等．,0,1,0,0,0,0,0
3138,如图，在四线段形字母字母字母中，线段与线段相交于点F，E为线段上一点，且线段等于线段，ED等于线段．（1）说明三角形线段D与三角形线段B全等的理由；（2）说明三角形线段F与三角形E线段全等的理由．,0,1,0,0,0,0,0
3139,如图，线段等于线段，线段等于线段．线段平行线段，线段平行线段，请找出图中所有全等的三角形，并说明理由．,0,1,0,0,0,0,0
3140,分别以字母字母字母的各线段为线段，向形外作四个正方形，试说明依次连接这四个正方形对角线的交点所构成的四线段形是正方形．,0,1,1,0,1,0,0
3141,（2012春姜堰市校级期末）如图，在4乘方4的正方形方格中，三角形字母字母字母和三角形字母字母字母的顶点都在线段长为1的小正方形的顶点上．判断三角形字母字母字母与三角形字母字母字母是否相似，并证明你的结论．,0,1,0,0,0,0,0
3142,如图，已知三角形字母字母字母中，线段等于线段等于8厘米，线段等于6厘米，角B等于角C，点D为线段的中点．如果点P在线段线段上以3厘米除秒的速度由B点向C点运动，同时，点Q在线段线段上由C点向A点运动．（1）若点Q的运动速度与点P的运动速度相同，是否会出现某一时刻三角形线段D与三角形C线段全等的情况？为什么？（若不能全等，说明理由；若能够全等，求出这个时刻）（2）若点Q的运动速度与点P的运动速度不相同，是否会出现某一时刻三角形线段D与三角形C线段全等的情况？为什么？（若不能全等，说明理由；若能够全等，求出这个时刻以及Q点的坐标）,0,1,0,0,0,0,0
3143,（2018温岭市一模）如图，正方形字母字母字母的线段长为4，E是线段线段的中点，点P在射线线段上，过P作线段垂直线段于F．（1）求证比三角形线段A相似三角形字母字母字母；（2）当点P在射线线段上运动时，设PA等于x，是否存在实数x，使以P，F，E为顶点的三角形也与三角形字母字母字母相似？若存在，请求出x的值；若不存在，说明理由．,0,1,1,0,0,0,0
3144,（2019泉州模拟）如图，线段与线段交于点O，角A等于40度，线段等于线段，角C等于20度，求证比线段平行线段．,0,0,0,0,0,1,0
3145,（2012秋石河子校级月考）若三角形字母字母字母相似三角形字母字母字母，且相似比k等于1除2，当S三角形字母字母字母等于6时，求S三角形字母字母字母．,0,1,0,0,0,0,0
3146,（2019苍梧县一模）如图，在菱形字母字母字母中，线段垂直线段，AF垂直线段，垂足分别为E、F，求证比线段等于线段．,0,1,0,1,0,0,0
